Global Sıra,İlçe,Klinik Adı,Mahalle,Adres,Telefon,Yorum Sayısı,Puan,Tip/Özellik,Eve Kuş Uçuşu (km),Ziyaret Tarihi,Temsilci,Görüşülen Hekim,Durum,Sipariş,Notlar
319,Çankaya-C Merkez,HLC Dental ADSP,,"Kazım Özalp, Uğur Mumcu Cd. No:8",0312 436 60 06,230,4.9,HOT LEAD,19.9,,,,,,
320,Çankaya-C Merkez,Özel G.O.P Dental ADSP,,"Kazım Özalp, Gaziosmanpaşa, Reşit Galip Cd. No:89",0312 468 04 04,14,5.0,,19.8,,,,,,
321,Çankaya-C Merkez,"Dr. M. Burak Kirişci (Estelite, Çene Cer.)",,"Gaziosmanpaşa, Nenehatun Cd No:96 D:2",0312 436 69 92,2,5.0,UZMAN (Çene Cer.),19.6,,,,,,
322,Çankaya-C Merkez,Dt. Yalçın Erdin Diş Kliniği,,"Gaziosmanpaşa, Filistin Cd. No:2 D:3",0312 468 80 88,47,4.8,,19.4,,,,,,
323,Çankaya-C Merkez,Prof.Dr. Mustafa Kemal Ünsal ADSP,,"Gaziosmanpaşa, Filistin Cd. No:2 D:8",0506 382 52 27,16,4.9,,19.4,,,,,,
324,Çankaya-C Merkez,Dental Clinic Medikodent,,"Gaziosmanpaşa, Beyaz Zambaklar Sk. Kat:1 No:6 D:3-4",0312 467 09 01,163,4.9,HOT LEAD,19.4,,,,,,
325,Çankaya-C Merkez,MED-DİŞ ADSP,,"Gaziosmanpaşa, Borazan Sk. No:8",0312 427 27 24,70,4.5,,19.2,,,,,,
326,Çankaya-C Merkez,Çocuk Diş Hekimi Prof. Dr. Zafer Çehreli,,"Barbaros, İran Cd. No:6 D:3",0532 370 75 17,48,4.8,UZMAN (Pedodonti),19,,,,,,
327,Çankaya-C Merkez,Dent-in Ankara ADSP,,"Gaziosmanpaşa, Tahran Cd. No:4/9",0312 439 38 39,33,4.8,,18.9,,,,,,
328,Çankaya-C Merkez,Uzm. Dr. Gökçen Sargın Durakoğlu (Protez Uzm.),,"Gaziosmanpaşa, Tahran Cd. 4/9",0312 439 38 39,4,5.0,UZMAN (Protez),18.9,,,,,,
329,Çankaya-C Merkez,Dişhekimi Sadık & Y. Emre Meral (Ortodonti+Protez Uzm.),,"Kavaklıdere, İran Cd. Konur İş Merkezi Kat:1 No:13 D:9",0312 467 04 44,68,4.8,UZMAN,18.8,,,,,,
330,Çankaya-C Merkez,RİDENS ADSP,,"Kavaklıdere, Buğday Sk. No:6 D:32",0312 426 73 32,18,4.9,,18.7,,,,,,
331,Çankaya-C Merkez,C. Dent Oral and Maxillofacial Clinic,,"Kavaklıdere, Tunalı Hilmi Cd. No:5 D:4 (Buğday Sk)",0312 468 09 80,30,4.9,UZMAN (Çene Cer.),18.7,,,,,,
332,Çankaya-C Merkez,"Uzm.Dr². Tansu Erakman Dental Klinik (Çene Cer., 2 Doktora)",,"Barbaros, Buğday Sk. No:2 D:1",0532 550 22 76,225,4.8,HOT LEAD (Uzman/Çene Cer.),18.7,,,,,,
333,Çankaya-C Merkez,Dr. Semih Süreyya Yazıcı,,"Kavaklıdere, Abay Kunanbay Cd. No:6 D:7",0312 466 55 77,73,4.9,,18.6,,,,,,
334,Çankaya-C Merkez,Tunalı Ağız ve Diş Sağlığı Polikliniği,,"Barbaros, Tunalı Hilmi Cd. No:105/4",0544 916 08 65,67,5.0,,18.6,,,,,,
335,Çankaya-C Merkez,Uzm.Dt.Zehra Yurdakul (Ortodonti),,"Barbaros, Tunalı Hilmi Cd. No:103/3",0537 612 18 58,29,5.0,UZMAN (Ortodonti),18.5,,,,,,
336,Çankaya-C Merkez,Dentapros Tunalı,,"Remzi Oğuz Arık, Tunalı Hilmi Cd. No:90 D:12",0312 911 13 96,234,4.5,HOT LEAD,18.5,,,,,,
337,Çankaya-C Merkez,Özel Orto-Dent ADSP (Ortodonti),,"Kavaklıdere, Tunalı Hilmi Cd. No:92 D:15",0312 427 01 06,9,4.6,UZMAN (Ortodonti),18.5,,,,,,
338,Çankaya-C Merkez,Dentess ADSP (Ortodonti),,"Remzi Oğuz Arık, Tunalı Hilmi Cd. No:94 D:12",0312 467 67 99,7,5.0,UZMAN (Ortodonti),18.5,,,,,,
339,Çankaya-C Merkez,Dentapol Ankara,,"Kavaklıdere, Tunalı Hilmi Cd. No:84 Kat:1",0850 259 0444,440,4.9,MEGA LEAD,18.5,,,,,,
340,Çankaya-C Merkez,Dent Ankara Ağız ve Diş Sağlığı,,"Remzi Oğuz Arık, Tunalı Hilmi Cd. No:82",0505 777 06 84,251,4.8,HOT LEAD,18.5,,,,,,
341,Çankaya-C Merkez,"Dr. Dt. Ece Öztoprak (Pedodonti, Sedasyon)",,"Kavaklıdere, Tunalı Hilmi Cd. 82/3",0505 777 06 84,10,5.0,UZMAN (Pedodonti),18.5,,,,,,
342,Çankaya-C Merkez,HF Dental ADSP,,"Remzi Oğuz Arık, Tunalı Hilmi Cd. No:80 Kat:3 D:2",0312 466 94 66,43,4.7,,18.5,,,,,,
343,Çankaya-C Merkez,Ankara Tunalı Diş Hekimi Pakize Ceyran Gençer,,"Kavaklıdere, Tunalı Hilmi Cd. No:81/3",0507 019 01 93,196,4.8,HOT LEAD,18.5,,,,,,
344,Çankaya-C Merkez,Dr.Dt.Burak Bulmuş Kliniği,,"Barbaros, Bülten Sk. No:21 D:6 (Tunalı Hilmi)",0532 423 42 58,70,5.0,,18.5,,,,,,
345,Çankaya-C Merkez,Dr. Hilal Sanli,,"Barbaros, Büklüm Cd No:54/8 (Tunalı Hilmi)",0532 687 18 05,180,4.9,HOT LEAD,18.5,,,,,,
346,Çankaya-C Merkez,Dr. Ramazan Dağ,,"Remzi Oğuz Arık, Tunalı Hilmi Cd. 70/17",0531 873 38 70,44,5.0,,18.5,,,,,,
347,Çankaya-C Merkez,Dr. Tamer Eroğlu,,"Kavaklıdere, Tunalı Hilmi Cd. 70/22",0312 467 52 72,16,4.8,,18.5,,,,,,
348,Çankaya-C Merkez,Dr. Dt. Yiğit Aydoğanlı ADSP,,"Remzi Oğuz Arık, Tunalı Hilmi Cd. No:68/22",0312 466 41 45,23,5.0,,18.4,,,,,,
349,Çankaya-C Merkez,Dr. Özlem Sancak (Ortodonti Uzm.),,"Remzi Oğuz Arık, Tunalı Hilmi Cd. No:70 D:24",0312 466 67 65,62,5.0,UZMAN (Ortodonti),18.5,,,,,,
350,Çankaya-C Merkez,Erhan Özdiler Diş Polikliniği,,"Kavaklıdere, Remzi Oğuz Arık, Bülten Sk. No:8/6",,59,4.6,,18.4,,,,,,
351,Çankaya-C Merkez,Uzman Diş Hekimi Çağatay Çakar (Dentapol içi),,"Remzi Oğuz Arık, Tunalı Hilmi Cd. No:84 Kat:1",0505 576 04 57,31,4.9,UZMAN,18.4,,,,,,
352,Çankaya-C Merkez,Dt. Özlem Gökalp,,"Kavaklıdere, Bestekar Cd 78/1",0312 467 24 77,51,4.9,,18.3,,,,,,
353,Çankaya-C Merkez,Evrensel Ağız ve Diş Sağlığı Merkezi,,"Kavaklıdere, Remzi Oğuz Arık, Tunalı Hilmi Cd. No:60 D:6",0312 466 19 95,467,5.0,MEGA LEAD,18.4,,,,,,
354,Çankaya-C Merkez,Dr. Gözde Çobanoğlu (Invisalign),,"Kavaklıdere, John F. Kennedy Cd. No:24/3",0553 774 73 33,58,4.6,UZMAN (Ortodonti),18.4,,,,,,
355,Çankaya-C Merkez,Dr. Zeynel Erdoğan,,"Barbaros, Tunalı Hilmi Cd. Çelikler İş Merkezi No:91/107",0533 350 56 48,29,5.0,,18.4,,,,,,
356,Çankaya-C Merkez,Dt. Özgün Eylem Karadağ (24h),,"Barbaros, Esat Cd. 64/2",0312 417 59 63,120,4.5,HOT LEAD (24/7),18.5,,,,,,
357,Çankaya-C Merkez,Dr. Serpil Buyurgan,,"Barbaros Mh, Esat Cd. No:64 D:3",0312 425 85 00,8,4.0,,18.5,,,,,,
358,Çankaya-C Merkez,Diş Hekimi Haluk Çağırman,,"Esatoğlu, Yaprak Sokağı",0312 425 25 55,0,-,,18.5,,,,,,
359,Çankaya-C Merkez,Dr. Tuncay Akdoganli,,"Kavaklıdere, Esat Cd. No:67 D:1",0312 425 67 17,3,5.0,,18.3,,,,,,
360,Çankaya-C Merkez,Diş Hekimi Fethiye Güven,,"Kavaklıdere, Bestekar Cd No:17",0312 417 57 54,4,5.0,,18.1,,,,,,
361,Çankaya-C Merkez,Dt. Ezgi Taşkaya Özgür,,"Kavaklıdere, Büklüm Cd No:4",,4,5.0,,18,,,,,,
362,Çankaya-C Merkez,Dent Hospital,,"Kavaklıdere, Esat Cd. No:11",0501 325 35 35,136,4.2,HOT LEAD,17.8,,,,,,
363,Çankaya-C Merkez,Dişhekimi Fikret Memiş,,"Kavaklıdere, Akay Cd. Konur Sok. 52/4",0532 732 56 28,0,-,,17.8,,,,,,
364,Çankaya-C Merkez,Diş Hekimi Hasan Güngör,,"Kavaklıdere, Olgunlar Cd. No:2",0507 788 06 00,7,5.0,,17.6,,,,,,
365,Çankaya-C Merkez,Diş Hekimi İsmihan Pişkin,,"Kavaklıdere, Olgunlar Cd. No:2 D:16",0312 236 04 16,1,5.0,,17.6,,,,,,
366,Çankaya-C Merkez,Dr.Dt. Enver Akın Özkan (Ortodonti),,"Kavaklıdere, Olgunlar Cd. No:2",0507 788 06 00,114,4.9,UZMAN (Ortodonti),17.6,,,,,,
367,Çankaya-C Merkez,Dentaş Ağız ve Diş Sağlığı Polikliniği,,"Meşrutiyet, Karanfil Sk. 38/4",0312 425 09 80,174,4.8,HOT LEAD,17.6,,,,,,
368,Çankaya-C Merkez,Diş Hekimi Mücahit Selvi,,"Kızılay, Konur Sok. No:32/5",0312 419 23 03,0,-,,17.7,,,,,,
369,Çankaya-C Merkez,Dt. Melek Kazanç,,"Meşrutiyet, Konur Sok. Haseki Apt D:39/6",0506 371 29 99,215,4.9,HOT LEAD,17.7,,,,,,
370,Çankaya-C Merkez,Özel Kızılay ADSP,,"Meşrutiyet, Konur Sok. No:35",0312 418 18 14,2,5.0,,17.7,,,,,,
371,Çankaya-C Merkez,Dr. Engin Ersoz,,"Kızılay, Meşrutiyet Cd. No:16 D:6",0312 418 15 05,79,4.9,,17.7,,,,,,
372,Çankaya-C Merkez,Dent Kızılay Estetik ve İmplantoloji,,"Meşrutiyet, Selanik Cd No:60 Kat:3",0312 425 73 15,32,4.1,,17.7,,,,,,
373,Çankaya-C Merkez,Diş Hekimi Ömer Büyüksağın,,"Kocatepe, Selanik Cd No:33 D:9",0312 418 93 03,1,5.0,,17.6,,,,,,
374,Çankaya-C Merkez,Diş Hekimi Nejat Altınok,,"Kocatepe, Selanik Cd 21/2",0312 425 27 27,2,5.0,,17.5,,,,,,
375,Çankaya-C Merkez,Dr. Muzaffer Katar,,"Kızılay, Selanik Cd No:28 D:13",0312 425 82 02,3,5.0,,17.5,,,,,,
376,Çankaya-C Merkez,Diş Hekimi Samet Kadir,,"Kızılay, Selanik Cd No:26 D:12",0312 419 06 00,42,5.0,,17.5,,,,,,
377,Çankaya-C Merkez,Diş Hekimi Ömer Burak Bulut,,"Kızılay, Karanfil Sk. No:3 D:47 4.kat",0537 665 03 89,52,4.7,,17.4,,,,,,
378,Çankaya-C Merkez,Diş Hekimi Şefik Kılınç,,"Meşrutiyet, Karanfil Sk. No:1/303 (Nurettin Bey İşhanı K:3)",0312 432 32 12,1,5.0,,17.4,,,,,,
379,Çankaya-C Merkez,Oraldent Diş Polikliniği,,"Cumhuriyet, Sakarya Cd. Ali Nazmi İşhanı No:1/15",0507 261 62 06,69,5.0,,17.3,,,,,,
380,Çankaya-C Merkez,Aykaç Diş Kızılay,,"Cumhuriyet, Selanik Caddesi 1/12",0544 295 22 23,8,5.0,,17.3,,,,,,
381,Çankaya-C Merkez,Özel Dentcity ADSP,,"Kızılay, Atatürk Blv No:72",,32,4.9,,17.2,,,,,,
382,Çankaya-C Merkez,Diş Hekimi Vahide Sinem Aliustaoğlu,,"Kızılay, İzmir-1 Cd. No:24/5",0312 430 30 36,11,5.0,,17.1,,,,,,
383,Çankaya-C Merkez,Diş Hekimi (Demet/Kenan),,Kızılay merkez,0532 419 88 06,70,4.8,,17.2,,,,,,
384,Çankaya-C Merkez,Diş Hekimi Burak Çintaş Muayenehanesi,,"Kızılay, Şht. Adem Yavuz Sk. 8/17",0850 474 7457,13,5.0,,17.1,,,,,,
385,Çankaya-C Merkez,Ersoz Ağız ve Diş Sağlığı Merkezi,,"Kızılay, Şht. Adem Yavuz Sk. No:12",0312 419 69 69,600,4.9,MEGA LEAD,17.1,,,,,,
386,Çankaya-C Merkez,Diş Hekimi Alperen Ünal,,"Kızılay, Şht. Adem Yavuz Sk. No:11 D:1",0543 224 92 42,61,5.0,,17.2,,,,,,
387,Çankaya-C Merkez,Diş Hekimi Fikri Mehmet Çavuş,,"Kızılay, İzmir-2 Cd. 45/5",0312 419 50 55,10,5.0,,17.1,,,,,,
388,Çankaya-C Merkez,Dizayn Dental Kızılay,,"Kızılay, Kumrular Cd. No:16 D:B",0501 048 98 98,385,5.0,MEGA LEAD (Acil),17,,,,,,
389,Çankaya-C Merkez,32 DENT ADSP Kızılay Şube,,"Kızılay, Kumrular Cd. 28/A",0312 466 37 61,17,5.0,,16.9,,,,,,
390,Çankaya-C Merkez,Özel Doruk ADSP,,"Kızılay, Fevzi Çakmak-2 Sk. 32/24-29",0312 232 41 81,13,5.0,,16.8,,,,,,
391,Çankaya-C Merkez,Özel Meslife Dent ADSP Kızılay,,"Kızılay, Fevzi Çakmak-2 Sk. No:30 D:B",0553 336 63 88,67,3.9,,16.8,,,,,,
392,Çankaya-C Merkez,Özel Ankara Mavi ADSP Kızılay Şubesi,,"Maltepe, Gazi Mustafa Kemal Blv. No:39/14",0312 231 00 12,89,4.0,,16.7,,,,,,
393,Çankaya-C Merkez,Talat Orhan Diş Hekimi,,"Korkutreis, Sezenler Sk.",0312 231 61 62,2,5.0,,16.9,,,,,,
394,Çankaya-C Merkez,Diş Hekimi Halime Demir,,"Korkutreis, Sezenler Sok. 12/19 Sıhhiye",0312 232 20 95,27,4.7,,16.9,,,,,,
395,Çankaya-C Merkez,ÖZTAN YASUN Diş Muayenehanesi,,"Korkutreis, Sezenler Sk. No:4 D:3",0532 477 43 91,6,5.0,,17,,,,,,
396,Çankaya-C Merkez,Dişişleri ADSP,,"Cumhuriyet Mh, Kızılay, Atatürk Blv No:53/1",0532 723 73 01,38,4.6,,17.2,,,,,,
397,Çankaya-C Merkez,Diş Hekimi Süleyman Yüksel,,"Fidanlık, Sakarya Cd. No:32/4",,6,4.7,,17.6,,,,,,
398,Çankaya-C Merkez,Dt. İlyas Cengiz Suadioğlu,,"Fidanlık, Ziya Gökalp Cd. 31/2 (Aytun Apt)",0543 593 47 66,29,5.0,,17.7,,,,,,
399,Çankaya-C Merkez,Diş Hekimi Dr.Tayfun Işıksalan,,"Kültür, Mithatpaşa Cd. No:49 D:6",0555 033 53 96,35,5.0,,17.7,,,,,,
400,Çankaya-C Merkez,Diş Hekimi Zeynep Yıldız,,"Kızılay, Mithatpaşa Cd. No:54/14",0541 129 23 59,50,5.0,,17.7,,,,,,
401,Çankaya-C Merkez,FT ADSP,,"Kızılay, Mithatpaşa Cd. No:56 D:12",0546 126 56 12,4,5.0,,17.8,,,,,,
402,Çankaya-C Merkez,Dent|idea Kızılay (Dr. Bülent/Barkın),,"Kızılay, Mithatpaşa Cd. 62/9",0312 417 52 93,9,4.6,,17.8,,,,,,
403,Çankaya-C Merkez,Dt. Demet Şen Dağlı (Gülüş Estetiği),,"Kızılay, Mithatpaşa Cd. No:57 D:4 2.Kat",0533 779 70 40,51,5.0,,17.8,,,,,,
404,Çankaya-C Merkez,Dt. Selahattin Türkan,,"Kızılay, Meşrutiyet Cd. 29/8",0532 736 29 41,102,4.8,,17.8,,,,,,
405,Çankaya-C Merkez,Dişhekimi Gürsel Sayıner,,"Kocatepe, Bayındır-2 Sk. 54/9",0312 418 97 87,7,5.0,,17.8,,,,,,
406,Çankaya-C Merkez,Dt. Cemal Seçkin,,"Kocatepe, Meşrutiyet Cd. No:32/8 Kat:4",0312 212 39 39,114,4.8,,17.8,,,,,,
407,Çankaya-C Merkez,Dt. Gözde Zeyrek Diş Kliniği,,"Kültür Mh, Kızılay, Meşrutiyet Cd. 36A D:20",0545 423 68 14,51,4.3,,17.9,,,,,,
408,Çankaya-C Merkez,Diş Doktoru Hıdır Öztürk,,"Kocatepe, Bayındır-2 Sk. 40/6",0850 811 3161,5,5.0,,17.6,,,,,,
409,Çankaya-C Merkez,Dişhekimi Halil Ercan,,"Kızılay, Karanfil Sk. No:25 D:12",0312 425 95 99,3,5.0,,17.5,,,,,,
410,Çankaya-C Merkez,Kızılay Diş Kliniği (Ramazan/Gülnur),,"Kızılay, Atatürk Blv No:115/28",0537 655 26 30,25,5.0,,17.4,,,,,,
411,Çankaya-C Merkez,Dr. Salih Saraçgil,,"Kızılay, Selanik Cd Tankut İş Merkezi No:82 D:13",0312 418 60 14,12,4.8,,17.8,,,,,,
412,Çankaya-C Merkez,Önder Öztürk Diş Hekimi,,"Kavaklıdere, Atatürk Blv No:165 D:B",0533 580 30 22,24,4.8,,17.7,,,,,,
413,Çankaya-C Merkez,DentGEN Ankara Çankaya Diş Kliniği,,"Kavaklıdere, Atatürk Blv No:165/B",0533 580 30 22,488,4.9,MEGA LEAD,17.7,,,,,,
414,Çankaya-C Merkez,Uzm. Dt. Alper Taşkaldıran (Çene Cer.),,"Kavaklıdere, Atatürk Blv No:169 Tunus Cad. No:10 K:3 D:40",0532 723 19 83,114,4.6,UZMAN (Çene Cer.),17.8,,,,,,
415,Çankaya-C Merkez,MİNEDENT ADSP,,"Kavaklıdere, Atatürk Blv No:175/14",0312 419 57 25,82,4.5,,17.8,,,,,,
416,Çankaya-C Merkez,Makrodent Ortodonti - Dr. Hakan Demirel,,"Kavaklıdere, Atatürk Blv Çakmak Apt No:177 D:1-4",0501 559 47 78,123,4.7,UZMAN (Ortodonti),17.8,,,,,,
417,Çankaya-C Merkez,Dentaplant ADSP,,"Kavaklıdere, Güvenlik Cd. No:15/A",0312 419 91 00,12,4.6,,17.8,,,,,,
418,Çankaya-C Merkez,Özel Milimetrik ADSP,,"Remzi Oğuz Arık, Güvenlik Cd. 57 A",0312 652 70 70,152,5.0,HOT LEAD,18,,,,,,
419,Çankaya-C Merkez,Diş Hekimi Aykut Girgin,,"Ayrancı, Güvenlik Cd. No:24/1",0537 479 77 85,65,4.9,,18,,,,,,
420,Çankaya-C Merkez,Dr. Funda Ersöz (Restoratif Diş Tedavisi Uzm.),,"Ayrancı, Hoşdere Cd. No:1 D:7",0312 466 78 08,191,4.7,HOT LEAD (Uzm.),17.7,,,,,,
421,Çankaya-C Merkez,Diş Hekimi Gülşen İrem Kavaklı,,"Ayrancı, Hoşdere Cd. 49/4",0506 700 71 06,8,5.0,,18,,,,,,
422,Çankaya-C Merkez,Diş Hekimi Selçuk Turancı,,"Ayrancı, Reşat Nuri Cd No:2",0312 426 88 38,10,4.6,,18,,,,,,
423,Çankaya-C Merkez,Özel Klinik 99 ADSP,,"Güvenevler, Güvenlik Cd. No:99 A-B",0540 640 60 06,57,5.0,,18.3,,,,,,
424,Çankaya-C Merkez,Uzm. Dt. Zeynep Şahin (Pedodonti),,"Güvenevler, Farabi Sk. No:42 D:3",0542 466 08 36,85,4.9,UZMAN (Pedodonti),18.6,,,,,,
425,Çankaya-C Merkez,Famiy Smile (Pedodonti/Ortodonti),,"Güvenevler, Farabi Sk. No:42 D:3",0542 466 08 36,30,4.9,UZMAN (Pedodonti),18.6,,,,,,
426,Çankaya-C Merkez,Uzm. Dr. Dt. Sinan Akçiçek,,"Çankaya, Üsküp Cd. No:13/1",0505 731 08 13,98,5.0,UZMAN (Kanal),18.9,,,,,,
427,Çankaya-C Merkez,Atakule Dent ADSP,,"Aziziye, Ahenk Sk. 7/B",0534 506 33 68,67,4.6,,18.8,,,,,,
428,Çankaya-C Merkez,Diş Hekimi S. Serpil Kasman,,"Ayrancı, Hoşdere Cd. No:144 İç Kapı No:1",0552 840 77 35,13,5.0,,18.3,,,,,,
429,Çankaya-D Güney,Özel DENTVİSTA ADSP,,"Aziziye, Hoşdere Cd. No:149/B",0544 438 78 89,251,5.0,HOT LEAD,18.5,,,,,,
430,Çankaya-C Merkez,Ankara Diş Hekimi Bilal Turgut,,"Aziziye, Hoşdere Cd. No:171 D:B",0850 474 8149,87,4.9,,18.8,,,,,,
431,Çankaya-B Çukurambar/Balgat,DENTANORM Implants Cosmetic Dental Clinic,,"Güzeltepe, Hoşdere Cd. 216/1",0535 108 51 51,76,3.3,,19.1,,,,,,
432,Çankaya-C Merkez,Çocuk Diş Hekimi Prof. Dr. Sevi Burçak Çehreli,,"Çankaya, Çankaya Cd. No:4/6",0530 201 88 68,79,4.7,UZMAN (Pedodonti),19.3,,,,,,
433,Çankaya-D Güney,TETRADENT ADSP,,"İlkadım, Dikmen Cd No:213",0553 697 78 58,447,4.7,MEGA LEAD,18.2,,,,,,
434,Çankaya-D Güney,Dr. Cenk Sezer,,"Harbiye, Dikmen Cd No:228 D:4",0312 482 74 33,6,5.0,,18.2,,,,,,
435,Çankaya-D Güney,Ankara İmplant Deha Dental,,"Naci Çakır, Dikmen Cd No:267/19",0532 394 72 94,14,4.9,,18.4,,,,,,
436,Çankaya-D Güney,Cihangir Aydoğdu Diş Kliniği,,"Naci Çakır, Dikmen Cd No:267/1",0312 483 25 45,66,4.9,,18.4,,,,,,
437,Çankaya-D Güney,Vadi Ankara ADSP,,"Aydınlar, Dikmen Cd No:137 (Hürriyet)",0312 478 70 80,114,4.5,HOT LEAD,18.4,,,,,,
438,Çankaya-D Güney,Dentists Pelin Aktay Esen,,"Aydınlar Mh, Cahit Sıtkı Sk Arka Sokak No:2B (Vadi Sürücü Kursu)",0312 481 21 20,24,4.8,,18.2,,,,,,
439,Çankaya-D Güney,Ankara İmplant (Dr. Yaren/Esra),,"Aydınlar Mh, Hürriyet Cd 29 Mayıs Hastanesi yakını No:186/A",0549 482 17 75,48,4.9,,18.3,,,,,,
440,Çankaya-D Güney,EKİNOKS ADSP,,"Aydınlar, Sokullu Mehmet Paşa Cd. No:173",0552 598 15 15,533,4.9,MEGA LEAD,18.3,,,,,,
441,Çankaya-D Güney,Sümerdent ADSP,,"Osman Temiz, Dikmen Cd No:307",0312 481 22 44,76,4.9,,18.5,,,,,,
442,Çankaya-D Güney,Özel Saygın ADSP,,"Osman Temiz, İlker Cd No:58/B",0505 811 58 80,46,5.0,,19.2,,,,,,
443,Çankaya-D Güney,Özel DENTESİLA ADSP,,"Mürsel Uluç, 981. Sk., İlker Cd. 2/B",0312 479 20 07,10,5.0,,19.3,,,,,,
444,Çankaya-D Güney,Newmed Medical Center (Dental Bölüm),,"Keklik Pınarı, Dikmen Cd No:393",0312 476 37 37,413,3.6,MEGA HASTANE,18.3,,,,,,
445,Çankaya-D Güney,Çankaya Dikmen ADSP,,"Huzur, 1109. Sk.",,1,5.0,,18.2,,,,,,
446,Çankaya-D Güney,Diş Hekimi Hasan Abdurrahman,,"Karapınar, Dikmen Cd No:406 D:1",0312 476 84 66,27,4.8,,18.2,,,,,,
447,Çankaya-D Güney,Özel Dikmen ADSM,,"Karapınar, Cevizlidere Cd No:132",0549 475 00 40,101,3.8,,18.1,,,,,,
448,Çankaya-D Güney,DENTAVEND ADSP - Dikmen Diş,,"Keklik Pınarı, Dikmen Cd No:435 D:10",0552 446 77 74,74,4.3,,18.2,,,,,,
449,Çankaya-D Güney,Ekadent ADSP,,"Karapınar, Dikmen Cd No:440 D:A",0505 377 71 12,41,5.0,,18.2,,,,,,
450,Çankaya-B Çukurambar/Balgat,Özel Öveçler ADSP,,"Ata, Kabil Cd. No:124 D:A",0312 481 91 11,105,4.5,,17.8,,,,,,
451,Çankaya-B Çukurambar/Balgat,Dt. Aylin Ali,,"Cevizlidere, Cevizlidere Cd. 85/C",0312 480 94 84,389,5.0,MEGA LEAD,17.1,,,,,,
452,Çankaya-B Çukurambar/Balgat,Özel Cevizlidere ADSP,,"Cevizlidere, Cevizlidere Cd. No:60/B",0506 608 40 40,185,5.0,HOT LEAD,16.8,,,,,,
453,Çankaya-B Çukurambar/Balgat,LibreDent ADSP,,"Cevizlidere, Mevlana Blv. Yıldırım Kule D:221/112",0530 473 11 12,46,5.0,,16.5,,,,,,
454,Çankaya-B Çukurambar/Balgat,Uzm. Dt. Tuğçe Tartıcı (Libredent uzm),,"Cevizlidere, Mevlana Blv. No:221 D:112 (Yıldırım Kule)",0850 474 9041,2,5.0,UZMAN,16.4,,,,,,
455,Çankaya-B Çukurambar/Balgat,Mentör ADSP,,"Ehlibeyt, Mevlana Blv. A-11 (Nev 201)",0507 275 29 61,68,5.0,,16.1,,,,,,
456,Çankaya-B Çukurambar/Balgat,Dentyaren ADSP,,"Ehlibeyt, Ceyhun Atuf Kansu Cd. No:126 D:G",0312 286 40 06,14,4.4,,16.2,,,,,,
457,Çankaya-B Çukurambar/Balgat,Mis Dent Diş Polikliniği,,"Cevizlidere, Cevizlidere Cd. No:27/A",0312 260 53 53,214,5.0,HOT LEAD,16.4,,,,,,
458,Çankaya-B Çukurambar/Balgat,Dr. Dt. Öykü Taşatan Karaoğlu (Mis Dent uzm),,"Cevizlidere, Cevizlidere Cd. No:27/A",0312 260 53 53,24,5.0,UZMAN,16.4,,,,,,
459,Çankaya-B Çukurambar/Balgat,Özel Dentafors ADSP,,"Ehlibeyt, Ceyhun Atuf Kansu Cd. No:114F/10",0312 473 41 11,214,4.8,HOT LEAD,16,,,,,,
460,Çankaya-B Çukurambar/Balgat,Dt. Şeyma Yavuz (Dentafors uzm),,"Ehlibeyt, Ceyhun Atuf Kansu Cd. No:114F/10 (Bayraklar Plaza)",,4,5.0,,16,,,,,,
461,Çankaya-B Çukurambar/Balgat,Dt. Şükriye Günaydın,,"Ehlibeyt, Balgat, 1263. Sk. 1/7 (Ceyhun Atıf Kansu)",0552 879 97 87,25,5.0,,16,,,,,,
462,Çankaya-B Çukurambar/Balgat,Diş Hekimi Şükriye Günaydın,,"Ehlibeyt, Ceyhun Atuf Kansu Cd. 1263. Sk. 1/7 (Balgat)",0552 879 97 87,25,5.0,,16,,,,,,
463,Çankaya-B Çukurambar/Balgat,Zendent ADSP,,"Ehlibeyt, Balgat, Ceyhun Atuf Kansu Cd. No:106/1",0312 441 19 99,12,5.0,,15.9,,,,,,
464,Çankaya-B Çukurambar/Balgat,Doğal Hayat Diş Kliniği (Emine Çatal),,"Oğuzlar, Balgat, 1370. Sk. No:12",0530 934 60 00,45,5.0,,15.7,,,,,,
465,Çankaya-B Çukurambar/Balgat,Diş Hekimi Abdulkadir Çetin,,"Oğuzlar, 1370. Sk. 24/7 (Dağdeviren İş Merkezi)",0312 287 91 92,71,5.0,,15.5,,,,,,
466,Çankaya-B Çukurambar/Balgat,Sesadent ADSP,,"Oğuzlar, Balgat Ceyhun Atuf Kansu Cd. Osman Tan 2 İş Merkezi D:47/B",0312 285 88 00,94,5.0,,15.5,,,,,,
467,Çankaya-B Çukurambar/Balgat,Dt. İsmail Gürbüz Diş Kliniği,,"Oğuzlar, Ceyhun Atıf Kansu Cad. 1379 sok.13/1",0312 285 52 48,14,4.4,,15.4,,,,,,
468,Çankaya-B Çukurambar/Balgat,Özel Dent Balgat ADSP,,"Balgat, Oğuzlar, Barış Manço Cd. No:24",0544 274 10 10,93,4.6,,15.5,,,,,,
469,Çankaya-B Çukurambar/Balgat,Dt. Dilara Karakuş Diş Kliniği,,"Oğuzlar, Balgat, Barış Manço Cd. No:24 D:11",0544 274 10 10,1,5.0,,15.5,,,,,,
